Year,Month,Day,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
1992,8,27,0,0,0,0,0,0,0,0,49.5,0,5.5,0,8,0,1,0,2,0,0,0,0,35.5,0,61.5
1992,8,28,0,94.1,0,0,0,0,0,0,2,5,10,0,3,0,0.5,0,35.5,0,0,0,0,8,0,0.5
1992,8,29,0,0,0,0,0,0,0,0,3,0.5,19,0,0,1,0.5,0,0,0,0,0,0,0,0,0
1992,8,30,0,5.1,0,0,0,0,0,12.5,0,0.5,0,0,0,0.5,0,0,15,0,0,0,0,0,16,0
1992,8,31,0,57.2,0,0,0,1,0.5,90,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.5,14.5
1992,9,1,0,11.1,2,0,0,2.5,1,5,0,0,0.5,0,0,0,40.5,0,36.5,0,0,0,0.5,13,1,83.5
1992,9,2,0,2.7,41,0,0,0,0,3,0,0,1,0,5.5,0,62.5,0,100.5,0,0,0,0,7.5,0,0.5
1992,9,3,0,0,3.5,0,0,0,0,0,0,0,0,0,0.5,0,5,0,18,0,0,0,0,0,0,0
1992,9,4,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,19.5,0,16.5,0,0,0,0,0,0,0
1992,9,5,0,8.7,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
1992,9,6,0,13.5,0,0,0,0,0,51,2,0,0,0,0.5,0,28.5,0,3,59.5,0,0,0,0,0,0
1992,9,7,0,11.5,25.5,0,0,0,0,69.5,81.5,0,1,0,1,0,10.5,0,12.5,11.5,0,0,7,0.5,0,0
1992,9,8,0,0.4,13.5,0,0,0,0,57.5,60.5,0,0,0,0.5,0,7.5,22,0,0,0,0.5,0,0,0,0
1992,9,9,0,0,50.5,0,0,0,0,60.5,1.5,0,0,0,6.5,0,47,64.5,0,0.5,0,0,0,0,0,0
1992,9,10,0,0,79.5,0,0,0,0,0,25,0,0.5,0,0,0,423.5,7,3,7,0,0,0,0,0,0
1992,9,11,0,0,73.5,0,0,0,0,1.5,25.5,0,0,0,11,0,34,0.5,0,43,0,0,0,1,0,0
1992,9,12,0,0,0,0,0,0,0,0,9.5,0,7.5,0,35.5,0,0,0,40,30,0,0,0,6.5,0,0
1992,9,13,0,0,2.5,0,0,0,0,0,0.5,0,56,0,6,0,0,0,29.5,2.5,0,0,0,29,0,0
1992,9,14,0,0,0.5,0,0,0,0,0,0,0,1.5,0,1.5,0,0,0,0,0,0,0.5,0,4.5,0,1.5
1992,9,15,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.5,0,90.5,0,19
1992,9,16,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,2,0,0,0,0,0,0,0,0,0
1992,9,17,0,0,0,0,0,0,0,70,0.5,0,0,0,0,0.5,6,0,0,4,0,0,0,1.5,0,0
1992,9,18,0,5.4,0,0,0,0,0,127,33.5,0,2.5,0,0,0,10.5,0,0,1.5,0,0,0,10.5,15.5,1.5
1992,9,19,0,5.1,69,0,0,0.5,0,1,0,0,6.5,0,0,0,21,0,0,0,0,0,0,60,9,35.5
